epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,6847.19,0.7717,0.59592,1.07217,0.9624,0.94571,0.97229,0.89058,0.36319,1.49288,0.72801,0.000680167,0.000680167,0.000680167
103,6908.41,0.77662,0.59714,1.07572,0.95622,0.94871,0.97448,0.89177,0.36165,1.60889,0.73133,0.000677,0.000677,0.000677
104,6974.99,0.76436,0.58664,1.06938,0.9764,0.93189,0.97104,0.8911,0.35733,2.00227,0.7312,0.000673833,0.000673833,0.000673833
105,7039.2,0.77109,0.58938,1.06177,0.96939,0.94176,0.97016,0.88987,0.36007,1.82025,0.72859,0.000670667,0.000670667,0.000670667
106,7101.07,0.77005,0.58546,1.05931,0.97215,0.93038,0.9706,0.88993,0.35825,2.05157,0.72625,0.0006675,0.0006675,0.0006675
107,7163.27,0.7652,0.58376,1.05914,0.96459,0.9413,0.96997,0.88997,0.35222,2.24649,0.72001,0.000664333,0.000664333,0.000664333
108,7230.29,0.77436,0.58455,1.06889,0.96737,0.93647,0.96879,0.88844,0.35435,2.84358,0.722,0.000661167,0.000661167,0.000661167
109,7301.4,0.76793,0.58069,1.06098,0.9713,0.92794,0.96852,0.88593,0.35218,3.99714,0.7213,0.000658,0.000658,0.000658
110,7375.79,0.76025,0.57802,1.05966,0.98129,0.93184,0.97181,0.88877,0.3525,1.63577,0.72223,0.000654833,0.000654833,0.000654833
111,7446.45,0.75654,0.57872,1.05589,0.9792,0.92942,0.97074,0.88988,0.35566,1.59447,0.72457,0.000651667,0.000651667,0.000651667
112,7507.62,0.75579,0.57111,1.06005,0.96637,0.93596,0.96965,0.88777,0.35575,1.60994,0.72497,0.0006485,0.0006485,0.0006485
113,7569.14,0.74719,0.56866,1.04995,0.97228,0.93497,0.97016,0.8871,0.35705,1.42628,0.72608,0.000645333,0.000645333,0.000645333
114,7636.24,0.75163,0.56569,1.05587,0.9759,0.9309,0.97076,0.88986,0.35296,1.08733,0.72255,0.000642167,0.000642167,0.000642167
115,7698.79,0.75205,0.56894,1.05737,0.95451,0.95281,0.97307,0.89012,0.35107,0.97796,0.72204,0.000639,0.000639,0.000639
116,7773.09,0.74363,0.55928,1.04943,0.96526,0.94176,0.97299,0.89229,0.35112,0.96004,0.7222,0.000635833,0.000635833,0.000635833
117,7844.12,0.74581,0.56423,1.05492,0.95924,0.95254,0.97333,0.89232,0.35394,0.85432,0.72368,0.000632667,0.000632667,0.000632667
118,7905.14,0.75477,0.56805,1.05705,0.9596,0.95262,0.97312,0.89086,0.35432,1.0927,0.72509,0.0006295,0.0006295,0.0006295
119,7966.15,0.75681,0.57038,1.05573,0.97134,0.93682,0.97259,0.89034,0.35351,1.02886,0.72533,0.000626333,0.000626333,0.000626333
120,8032.86,0.74981,0.572,1.05905,0.96652,0.94033,0.97229,0.89318,0.35092,0.75498,0.72622,0.000623167,0.000623167,0.000623167
121,8095.11,0.74899,0.56093,1.05708,0.95544,0.9536,0.97272,0.89378,0.35084,0.64626,0.72714,0.00062,0.00062,0.00062
122,8170.54,0.75132,0.56798,1.06106,0.95365,0.95558,0.97347,0.89297,0.35102,0.66485,0.72851,0.000616833,0.000616833,0.000616833
123,8240.46,0.74898,0.56608,1.05681,0.95227,0.95755,0.97317,0.89347,0.34916,0.61209,0.72668,0.000613667,0.000613667,0.000613667
124,8300.5,0.74023,0.5569,1.05027,0.95909,0.94898,0.97306,0.89316,0.34813,0.65975,0.7245,0.0006105,0.0006105,0.0006105
